clave,ciclos,Nombre,Maestro,Lunes,Martes,Miercoles,Jueves,Viernes,tipo,id_carga,desempeno
II0164,2,Metrología y normalización,Chavez Uribe / Juan Miguel,14:00-16:00,-,-,-,14:00-15:00,Elección libre,0.0
II0318,2,Investigación de operaciones,Canul Chalé / Juan Diego,20:00-22:00,-,20:00-22:00,-,-,Basica,0.0
IL0204,2,Estadística analítica,Ortega Espinosa / Viridiana Alhelí,18:00-20:00,-,-,18:00-20:00,-,Basica,0.0
DP0396,3,Identidad y cultura,Cucurachi Durán / Sergio Jesús,-,20:00-21:00,-,-,20:00-22:00,Basica,0.0
DP0295,2,Taller de formación en responsabilidad social y ambiental,Muñoz Dzib / Melchor Ernesto,-,18:00-19:00,-,-,18:00-20:00,Basica,0.0
II3486,3,Ergonomía,Armenta Aranceta / Mijaíl,-,16:00-18:00,-,15:00-16:00,-,Basica,0.0
DP0498,4,Problemas de México,Aguilar Hernández / Miguel Ángel,16:00-17:00,-,16:00-18:00,-,-,Basica,0.0
II0108,1,Diseño asistido por computadora,López Monzalvo / Francisco,-,13:00-15:00,-,13:00-15:00,-,Basica,0.0
II0264,1,Seguridad e higiene industrial,Chavez Uribe / Juan Miguel,17:00-18:00,-,18:00-20:00,-,-,Basica,0.0
II0164,2,Metrología y normalización,Chavez Uribe / Juan Miguel,14:00-16:00,-,-,-,14:00-15:00,Elección libre,1.0
II0318,2,Investigación de operaciones,Canul Chalé / Juan Diego,20:00-22:00,-,20:00-22:00,-,-,Basica,1.0
IL0204,2,Estadística analítica,Ortega Espinosa / Viridiana Alhelí,18:00-20:00,-,-,18:00-20:00,-,Basica,1.0
DP0295,2,Taller de formación en responsabilidad social y ambiental,Muñoz Dzib / Melchor Ernesto,-,18:00-19:00,-,-,18:00-20:00,Basica,1.0
II3486,3,Ergonomía,Armenta Aranceta / Mijaíl,-,16:00-18:00,-,15:00-16:00,-,Basica,1.0
II3474,4,Aire acondicionado y refrigeración,Chavez Uribe / Juan Miguel,-,-,14:00-16:00,-,17:00-18:00,Preespecialidad,1.0
DP0498,4,Problemas de México,Aguilar Hernández / Miguel Ángel,16:00-17:00,-,16:00-18:00,-,-,Basica,1.0
II0108,1,Diseño asistido por computadora,López Monzalvo / Francisco,-,13:00-15:00,-,13:00-15:00,-,Basica,1.0
II0264,1,Seguridad e higiene industrial,Chavez Uribe / Juan Miguel,17:00-18:00,-,18:00-20:00,-,-,Basica,1.0
II0164,2,Metrología y normalización,Chavez Uribe / Juan Miguel,14:00-16:00,-,-,-,14:00-15:00,Elección libre,2.0
II0318,2,Investigación de operaciones,Canul Chalé / Juan Diego,20:00-22:00,-,20:00-22:00,-,-,Basica,2.0
IL0204,2,Estadística analítica,Ortega Espinosa / Viridiana Alhelí,18:00-20:00,-,-,18:00-20:00,-,Basica,2.0
DP0295,2,Taller de formación en responsabilidad social y ambiental,Muñoz Dzib / Melchor Ernesto,-,18:00-19:00,-,-,18:00-20:00,Basica,2.0
II3486,3,Ergonomía,Armenta Aranceta / Mijaíl,-,16:00-18:00,-,15:00-16:00,-,Basica,2.0
II3474,4,Aire acondicionado y refrigeración,Chavez Uribe / Juan Miguel,-,-,14:00-16:00,-,17:00-18:00,Preespecialidad,2.0
DP0498,4,Problemas de México,Barragan Garcia / Marco Antonio,-,-,16:00-18:00,-,16:00-17:00,Basica,2.0
II0108,1,Diseño asistido por computadora,López Monzalvo / Francisco,-,13:00-15:00,-,13:00-15:00,-,Basica,2.0
II0264,1,Seguridad e higiene industrial,Chavez Uribe / Juan Miguel,17:00-18:00,-,18:00-20:00,-,-,Basica,2.0
II0164,2,Metrología y normalización,Chavez Uribe / Juan Miguel,14:00-16:00,-,-,-,14:00-15:00,Elección libre,3.0
II0318,2,Investigación de operaciones,Canul Chalé / Juan Diego,20:00-22:00,-,20:00-22:00,-,-,Basica,3.0
IL0204,2,Estadística analítica,Ortega Espinosa / Viridiana Alhelí,18:00-20:00,-,-,18:00-20:00,-,Basica,3.0
DP0295,2,Taller de formación en responsabilidad social y ambiental,Muñoz Dzib / Melchor Ernesto,-,18:00-19:00,-,-,18:00-20:00,Basica,3.0
II3486,3,Ergonomía,Armenta Aranceta / Mijaíl,-,16:00-18:00,-,15:00-16:00,-,Basica,3.0
DP0499,4,Seminario de investigación,Barragan Garcia / Marco Antonio,-,20:00-22:00,-,20:00-21:00,-,Basica,3.0
DP0498,4,Problemas de México,Aguilar Hernández / Miguel Ángel,16:00-17:00,-,16:00-18:00,-,-,Basica,3.0
II0108,1,Diseño asistido por computadora,López Monzalvo / Francisco,-,13:00-15:00,-,13:00-15:00,-,Basica,3.0
II0264,1,Seguridad e higiene industrial,Chavez Uribe / Juan Miguel,17:00-18:00,-,18:00-20:00,-,-,Basica,3.0
II0164,2,Metrología y normalización,Chavez Uribe / Juan Miguel,14:00-16:00,-,-,-,14:00-15:00,Elección libre,4.0
II0318,2,Investigación de operaciones,Canul Chalé / Juan Diego,20:00-22:00,-,20:00-22:00,-,-,Basica,4.0
IL0204,2,Estadística analítica,Ortega Espinosa / Viridiana Alhelí,18:00-20:00,-,-,18:00-20:00,-,Basica,4.0
DP0295,2,Taller de formación en responsabilidad social y ambiental,Muñoz Dzib / Melchor Ernesto,-,18:00-19:00,-,-,18:00-20:00,Basica,4.0
II3486,3,Ergonomía,Armenta Aranceta / Mijaíl,-,16:00-18:00,-,15:00-16:00,-,Basica,4.0
DP0499,4,Seminario de investigación,Barragan Garcia / Marco Antonio,-,20:00-22:00,-,20:00-21:00,-,Basica,4.0
DP0498,4,Problemas de México,Barragan Garcia / Marco Antonio,-,-,16:00-18:00,-,16:00-17:00,Basica,4.0
II0108,1,Diseño asistido por computadora,López Monzalvo / Francisco,-,13:00-15:00,-,13:00-15:00,-,Basica,4.0
II0264,1,Seguridad e higiene industrial,Chavez Uribe / Juan Miguel,17:00-18:00,-,18:00-20:00,-,-,Basica,4.0
II3424,2,Sistemas electromecánicos,Virgen Suárez / Jarmen Said,14:00-16:00,-,-,-,14:00-15:00,Elección libre,5.0
II0318,2,Investigación de operaciones,Canul Chalé / Juan Diego,20:00-22:00,-,20:00-22:00,-,-,Basica,5.0
IL0204,2,Estadística analítica,Ortega Espinosa / Viridiana Alhelí,18:00-20:00,-,-,18:00-20:00,-,Basica,5.0
DP0295,2,Taller de formación en responsabilidad social y ambiental,Muñoz Dzib / Melchor Ernesto,-,18:00-19:00,-,-,18:00-20:00,Basica,5.0
II3486,3,Ergonomía,Armenta Aranceta / Mijaíl,-,16:00-18:00,-,15:00-16:00,-,Basica,5.0
II3474,4,Aire acondicionado y refrigeración,Chavez Uribe / Juan Miguel,-,-,14:00-16:00,-,17:00-18:00,Preespecialidad,5.0
DP0498,4,Problemas de México,Aguilar Hernández / Miguel Ángel,16:00-17:00,-,16:00-18:00,-,-,Basica,5.0
II0108,1,Diseño asistido por computadora,López Monzalvo / Francisco,-,13:00-15:00,-,13:00-15:00,-,Basica,5.0
II0264,1,Seguridad e higiene industrial,Chavez Uribe / Juan Miguel,17:00-18:00,-,18:00-20:00,-,-,Basica,5.0
II3424,2,Sistemas electromecánicos,Virgen Suárez / Jarmen Said,14:00-16:00,-,-,-,14:00-15:00,Elección libre,6.0
II0318,2,Investigación de operaciones,Canul Chalé / Juan Diego,20:00-22:00,-,20:00-22:00,-,-,Basica,6.0
IL0204,2,Estadística analítica,Ortega Espinosa / Viridiana Alhelí,18:00-20:00,-,-,18:00-20:00,-,Basica,6.0
DP0295,2,Taller de formación en responsabilidad social y ambiental,Muñoz Dzib / Melchor Ernesto,-,18:00-19:00,-,-,18:00-20:00,Basica,6.0
II3486,3,Ergonomía,Armenta Aranceta / Mijaíl,-,16:00-18:00,-,15:00-16:00,-,Basica,6.0
DP0499,4,Seminario de investigación,Barragan Garcia / Marco Antonio,-,20:00-22:00,-,20:00-21:00,-,Basica,6.0
DP0498,4,Problemas de México,Aguilar Hernández / Miguel Ángel,16:00-17:00,-,16:00-18:00,-,-,Basica,6.0
